1,-14624,-4184,-4528,4,26,-39
2,-15016,-4016,-5256,-20,-45,-90
3,-14328,-4680,-4808,22,13,-33
4,-14400,-4320,-4728,28,5,-16
5,-15152,-4840,-4960,-4,6,4
6,-14744,-4264,-4712,0,7,-19
7,-14736,-4504,-4536,-9,25,-9
8,-14640,-4552,-4936,-1,19,9
9,-14632,-4288,-4856,-5,4,-2
10,-14616,-5576,-4944,15,-5,-17
11,-14568,-3264,-5200,-10,-15,-56
12,-14912,-4248,-4808,2,13,78
13,-14480,-5864,-4552,57,58,91
14,-14760,-3672,-4896,-14,11,-58
15,-14888,-4432,-4968,-3,-28,-57
16,-14800,-4424,-4584,32,3,-32
17,-14752,-5080,-5040,21,-6,-8
18,-14856,-4368,-4520,-6,-10,-14
19,-14696,-4640,-4872,12,-14,-4
20,-14680,-4424,-4520,0,13,3
21,-14856,-4536,-4904,2,-5,8
22,-14768,-4256,-4912,-13,1,-10
23,-14824,-5288,-4880,-7,3,-10
24,-14656,-3784,-5248,-7,-7,-75
25,-14912,-3016,-5208,-41,18,22
26,-15032,-6176,-4744,49,44,143
27,-14496,-3992,-4592,16,53,-21
28,-15224,-4192,-5208,-23,-35,-77
29,-14768,-4456,-4568,26,9,-43
30,-14696,-5272,-4776,32,20,-2
31,-14272,-4520,-4344,3,-1,-15
32,-14760,-4576,-5000,9,-6,-8
33,-14664,-4528,-5096,0,10,-2
34,-14664,-4560,-4656,-1,-7,-2
35,-14872,-4112,-4384,-9,-6,-3
36,-14928,-5176,-4936,1,-18,15
37,-14528,-4416,-4816,21,-22,-55
38,-15288,-3136,-5224,-37,-30,1
39,-14976,-5704,-4760,54,44,114
40,-14456,-4520,-4392,37,43,15
41,-15024,-4328,-5080,-16,-26,-64
42,-14632,-4336,-4512,17,1,-64
43,-14568,-4968,-5088,18,23,-26
44,-14808,-4080,-4896,9,5,-28
45,-14856,-4808,-4664,0,21,2
46,-14704,-4624,-4944,6,13,10
47,-14816,-4392,-4672,-9,-2,-7
48,-14712,-5168,-4696,-1,2,-1
49,-14920,-4120,-5024,-2,-22,-64
50,-14800,-3352,-5256,-36,1,29
51,-15256,-5840,-4680,52,40,140
52,-14664,-4360,-4600,9,46,0
53,-15056,-4352,-5216,-23,-39,-77
54,-14528,-4320,-4712,9,1,-51
55,-14816,-5184,-4864,37,3,-1
